review_text,rating,clean_text,tokens
Worst purchase ever,1,worst purchase ever,"['worst', 'purchase', 'ever']"
Bad experience,2,bad experience,"['bad', 'experience']"
"Great product, really loved it",4,great product really loved,"['great', 'product', 'really', 'loved']"
Very satisfied with the purchase,4,satisfied purchase,"['satisfied', 'purchase']"
Product stopped working,2,product stopped working,"['product', 'stopped', 'working']"
Terrible build quality,1,terrible build quality,"['terrible', 'build', 'quality']"
Waste of money,2,waste money,"['waste', 'money']"
Worst purchase ever,2,worst purchase ever,"['worst', 'purchase', 'ever']"
Not as described,2,described,['described']
Waste of money,1,waste money,"['waste', 'money']"
Terrible build quality,2,terrible build quality,"['terrible', 'build', 'quality']"
Loved the design and performance,4,loved design performance,"['loved', 'design', 'performance']"
Not as described,2,described,['described']
"Amazing experience, highly recommend",5,amazing experience highly recommend,"['amazing', 'experience', 'highly', 'recommend']"
Very poor quality,2,poor quality,"['poor', 'quality']"
Excellent quality and fast delivery,5,excellent quality fast delivery,"['excellent', 'quality', 'fast', 'delivery']"
Very disappointed,2,disappointed,['disappointed']
Bad experience,2,bad experience,"['bad', 'experience']"
Product stopped working,1,product stopped working,"['product', 'stopped', 'working']"
Waste of money,1,waste money,"['waste', 'money']"
Works perfectly as expected,5,work perfectly expected,"['work', 'perfectly', 'expected']"
"Great product, really loved it",5,great product really loved,"['great', 'product', 'really', 'loved']"
Very satisfied with the purchase,4,satisfied purchase,"['satisfied', 'purchase']"
Waste of money,2,waste money,"['waste', 'money']"
Do not buy this product,1,buy product,"['buy', 'product']"
Superb quality,4,superb quality,"['superb', 'quality']"
Superb quality,4,superb quality,"['superb', 'quality']"
Worst purchase ever,1,worst purchase ever,"['worst', 'purchase', 'ever']"
Very poor quality,2,poor quality,"['poor', 'quality']"
Do not buy this product,1,buy product,"['buy', 'product']"
Very disappointed,2,disappointed,['disappointed']
Very disappointed,1,disappointed,['disappointed']
Very poor quality,2,poor quality,"['poor', 'quality']"
Bad experience,2,bad experience,"['bad', 'experience']"
"Great product, really loved it",5,great product really loved,"['great', 'product', 'really', 'loved']"
Excellent quality and fast delivery,4,excellent quality fast delivery,"['excellent', 'quality', 'fast', 'delivery']"
Excellent quality and fast delivery,5,excellent quality fast delivery,"['excellent', 'quality', 'fast', 'delivery']"
Very satisfied with the purchase,4,satisfied purchase,"['satisfied', 'purchase']"
Worth the money,4,worth money,"['worth', 'money']"
Bad experience,2,bad experience,"['bad', 'experience']"
Bad experience,2,bad experience,"['bad', 'experience']"
Not as described,1,described,['described']
Very satisfied with the purchase,5,satisfied purchase,"['satisfied', 'purchase']"
Bad experience,2,bad experience,"['bad', 'experience']"
Works perfectly as expected,4,work perfectly expected,"['work', 'perfectly', 'expected']"
"Great product, really loved it",4,great product really loved,"['great', 'product', 'really', 'loved']"
